scorer,,,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab
bodyparts,,,pupil_top,pupil_top,pupil_bot,pupil_bot,pupil_right,pupil_right,pupil_left,pupil_left,lid_top,lid_top,lid_bot,lid_bot,corner_right,corner_right,corner_left,corner_left,nose_tip,nose_tip,whisker1,whisker1,whisker2,whisker2,whisker3,whisker3,nose_bot,nose_bot,mouth,mouth,tongue,tongue,watertube,watertube
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img000812.png,600.4175936171453,231.49114786558732,599.7187409003553,290.89362879273193,633.2636713062723,261.5418146875546,568.9692213615981,260.1441092539747,598.3210354667755,204.93474462756973,597.6221827499855,307.6660939956904,,,531.9300273717315,237.0819695999068,73.48264515753309,263.6383728379244,322.2742123347506,296.4844505270514,363.50652262535675,307.6660939956904,332.75700308659964,344.7052879855571,142.66906411973682,348.8984042862967,237.7130336031682,435.5561411682488,,,60.204443538524316,430.6641721507193
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img002602.png,605.3095626346749,259.44525653718483,604.610709917885,274.82001630656333,614.3946479529438,266.4337837050842,596.9233300331956,267.13263642187405,598.3210354667755,204.93474462756973,597.6221827499855,307.6660939956904,,,531.9300273717315,237.0819695999068,73.48264515753309,263.6383728379244,322.2742123347506,296.4844505270514,363.50652262535675,307.6660939956904,332.75700308659964,344.7052879855571,142.66906411973682,348.8984042862967,237.7130336031682,435.5561411682488,,,60.204443538524316,430.6641721507193
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img006534.png,606.0084153514648,258.047551103605,606.0084153514648,275.51886902335326,615.7923533865239,266.4337837050842,596.2244773164057,265.0360782715042,598.3210354667755,204.93474462756973,597.6221827499855,307.6660939956904,,,531.9300273717315,237.0819695999068,80.47117232543243,303.4729776949508,313.8879797332713,300.67756682779105,350.228321006348,317.4500320307495,323.67191776833056,344.7052879855571,142.66906411973682,364.2731640556753,237.7130336031682,435.5561411682488,,,60.204443538524316,430.6641721507193
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img007637.png,603.2130044843051,258.74640382039496,603.911857201095,276.9165744569332,615.7923533865239,266.4337837050842,594.8267718828258,267.831489138664,598.3210354667755,204.93474462756973,597.6221827499855,307.6660939956904,,,531.9300273717315,237.0819695999068,42.03427290198587,288.0982179255722,271.2579640090852,302.77412497816084,307.59830528216185,313.25691573000995,279.64419661056456,351.6938151534564,100.73790111234061,345.40414070234704,192.28760701182236,436.25499388503874,,,60.204443538524316,430.6641721507193
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img011503.png,613.695795236154,256.6498456700251,612.2980898025742,274.8200163065634,623.4797332712131,264.3372255547144,603.2130044843051,266.43378370508407,598.3210354667755,204.93474462756973,597.6221827499855,307.6660939956904,,,531.9300273717315,237.0819695999068,93.05052122765127,231.49114786558732,311.79142158290153,295.0867450934715,348.1317628559782,305.5695358453206,315.2856851668513,338.41561353444763,131.48742065109784,330.72823364975835,192.28760701182236,436.25499388503874,,,8.489342496068986,452.32860637120734
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img013864.png,609.5026789354145,258.0475511036049,609.5026789354145,270.62690000582376,615.7923533865239,264.33722555471434,603.2130044843051,265.7349309882942,606.0084153514648,207.73015549472944,606.0084153514648,301.376419544581,,,534.0265855221013,239.1785277502766,72.78379244074316,260.1441092539747,327.86503406907,297.18330324384135,368.39849164288637,307.6660939956904,334.8535612369694,337.7167608176577,137.07824238541733,346.10299341913696,206.26466134762106,415.9882650981306,,,43.431978335565844,460.7148389726866
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img016851.png,609.5026789354145,258.0475511036049,609.5026789354145,270.62690000582376,615.7923533865239,264.33722555471434,603.2130044843051,265.7349309882942,606.0084153514648,207.73015549472944,606.0084153514648,301.376419544581,,,534.0265855221013,239.1785277502766,64.39755983926389,268.53034185545397,311.0925688661115,295.08674509347156,350.9271737231379,305.5695358453206,317.38224331722097,343.3075825519772,122.40233533282864,347.5006988527168,197.87842874614185,418.7836759652904,,,43.431978335565844,460.7148389726866
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img018653.png,609.5026789354145,258.0475511036049,609.5026789354145,270.62690000582376,615.7923533865239,264.33722555471434,603.2130044843051,265.7349309882942,606.0084153514648,207.73015549472944,606.0084153514648,301.376419544581,,,534.0265855221013,239.1785277502766,64.39755983926389,268.53034185545397,311.0925688661115,295.08674509347156,350.9271737231379,305.5695358453206,317.38224331722097,343.3075825519772,122.40233533282864,347.5006988527168,206.26466134762106,415.9882650981306,,,43.431978335565844,460.7148389726866
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img022015.png,609.5026789354145,258.0475511036049,609.5026789354145,270.62690000582376,615.7923533865239,264.33722555471434,603.2130044843051,265.7349309882942,606.0084153514648,207.73015549472944,606.0084153514648,301.376419544581,,,534.0265855221013,239.1785277502766,64.39755983926389,268.53034185545397,306.8994525653719,292.29133422631185,344.63749927202855,299.9787141110011,316.68339060043104,341.2110244016074,122.40233533282864,347.5006988527168,206.26466134762106,415.9882650981306,,,43.431978335565844,460.7148389726866
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img023717.png,609.5026789354145,258.0475511036049,608.8038262186245,274.12116358977346,617.1900588201038,265.7349309882942,601.1164463339351,265.7349309882942,606.0084153514648,207.73015549472944,603.911857201095,304.8706831285307,,,534.0265855221013,239.1785277502766,64.39755983926389,268.53034185545397,292.9223982295732,297.88215596063134,336.2512666705493,304.8706831285307,304.80289441500213,343.30758255197725,115.41380816492929,350.29610971987654,196.48072331256193,423.6756449828199,,,43.431978335565844,460.7148389726866
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img027657.png,608.8038262186245,259.4452565371848,608.1049735018346,272.0246054394037,614.394647952944,265.7349309882942,601.1164463339351,265.7349309882942,606.0084153514648,207.73015549472944,603.911857201095,304.8706831285307,,,534.0265855221013,239.1785277502766,64.39755983926389,268.53034185545397,317.38224331722097,295.0867450934716,350.9271737231379,302.7741249781609,328.56388678585995,339.1144662512376,125.19774619998842,352.3926678702463,196.48072331256193,423.6756449828199,,,43.431978335565844,460.7148389726866
labeled-data,2022-04-25_102_EB015_eyeCamLeft,img029046.png,608.8038262186245,258.0475511036049,608.8038262186245,274.12116358977346,618.5877642536835,265.03607827150427,599.7187409003552,266.4337837050841,606.0084153514648,207.73015549472944,603.911857201095,304.8706831285307,,,534.0265855221013,239.1785277502766,57.40903267136454,279.71198532409295,315.2856851668512,307.6660939956906,342.54094112165876,317.4500320307495,329.9615922194398,347.5006988527169,125.19774619998842,352.3926678702463,199.97498689651158,432.7607303010891,,,43.431978335565844,460.7148389726866
