scorer,,,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab,cortex_lab
bodyparts,,,pupil_top,pupil_top,pupil_bot,pupil_bot,pupil_right,pupil_right,pupil_left,pupil_left,lid_top,lid_top,lid_bot,lid_bot,corner_right,corner_right,corner_left,corner_left,nose_tip,nose_tip,whisker1,whisker1,whisker2,whisker2,whisker3,whisker3,nose_bot,nose_bot,mouth,mouth,tongue,tongue,watertube,watertube
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img009786.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.10788538815447,434.8572884514589
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img019800.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.50559082173439,439.0504047521985
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img021994.png,,,,,,,,,,,,,,,,,,,596.1185992203782,183.84568641434777,635.9481122543315,193.8040193896623,611.1420231977094,231.79665724997642,,,,,,,62.70175998864525,443.60758640266835
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img022345.png,578.2081115605706,198.3446526151444,577.0726350152579,242.62823788233624,598.6466893761975,219.91870697608402,557.7695337449436,218.78323043077143,577.0726350152579,154.06106734795264,574.8016819246327,268.7441984245263,624.7626499183876,211.97037115889577,510.07951884181387,198.3446526151444,28.637463629266932,232.4089489745228,252.68022475943522,261.2324864358607,294.51973495151475,267.609994834982,263.4239714437833,304.81721898626256,87.68224398552266,320.97611950890644,156.94631324959195,378.88542331984956,,,52.48247108083174,444.743062947981
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img023234.png,576.582960755092,187.18149882903987,578.5416577957561,233.36700730963025,599.2662337662339,207.81168831168833,556.409090909091,207.81168831168833,571.9935064935066,149.37012987012992,570.6948051948054,257.16233766233773,625.24025974026,202.61688311688317,504.46103896103904,190.92857142857144,41.12770562770564,225.59608970264708,277.90717979212195,253.466812040921,317.27776908010566,261.5814257727168,285.3229408071278,301.4386655355501,101.30796252927402,310.75683060109293,184.1986697513014,390.33442872916555,,,81.98509385351491,459.7387086597613
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img024573.png,577.8448567538301,173.30064284292075,578.5416577957561,220.7480473222492,600.5281297649719,197.7165203217835,553.8852989116149,197.71652032178355,573.2554024922447,132.96548188653452,575.7423891897579,243.28148167621862,627.7640517377363,184.95033913454972,504.46103896103904,177.04771544245233,45.66961180895609,213.10584770420837,282.10029609286164,229.80201801974277,319.6657516427401,239.29453164253727,292.3312735176082,274.68703623494747,106.98534525583707,298.2665886026542,184.1986697513014,390.33442872916555,,,97.35985362289352,474.4146157123499
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img025118.png,567.6255678460166,159.6749242991694,573.9997516145056,203.71589914256003,593.7152704930962,178.41341905146908,547.0724396397393,185.22627832334484,575.5263555828699,118.20428679747056,571.2004830085075,229.65576313246726,627.7640517377363,179.27295640798667,499.91913277978864,160.01556726276317,39.99222908239304,191.53179334326876,262.8850287705591,222.4647009713326,300.18825543217037,228.6373459504328,274.8625015093963,267.525387082561,105.84986871052448,285.77634660421546,188.74057593255185,371.03132745885114,,,11.315681421256045,442.44178568026825
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img025397.png,577.8448567538301,173.30064284292075,577.2797617970178,203.08150333991574,599.2662337662339,178.78808034071193,553.8852989116149,182.57376833692626,578.3029864871971,117.82272990167723,575.7423891897579,231.92441768757567,630.2878437352124,178.64085914085922,503.199142962301,163.16685945633316,50.211517990206545,192.66726988858136,266.2219096692782,214.9308849045691,299.0312056364689,228.8117408906882,278.8408696566591,278.0256848414743,102.44343907458662,271.0151515151515,167.794021767706,343.6442767758557,,,94.60405384089592,389.07253273042744
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img026705.png,577.8448567538301,173.30064284292075,577.2797617970178,203.08150333991574,599.2662337662339,178.78808034071193,553.8852989116149,182.57376833692626,578.3029864871971,117.82272990167723,575.7423891897579,231.92441768757567,630.2878437352124,178.64085914085922,503.199142962301,163.16685945633316,35.450322901142584,202.88655879639487,249.8924330736838,224.10125825931357,288.292550775194,240.95446596438438,253.68726367529447,264.399966297723,95.0182880781646,279.65979413759317,213.21308358021042,357.269995319607,,,112.77167856589767,425.40778218043096
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img027816.png,581.6145411965084,151.7901142573274,572.5307288340075,211.97037115889577,604.3240721027606,181.31250443545525,548.6857213824427,177.90607479951746,581.6145411965084,116.59034135263647,569.1242991980697,226.73156624795973,621.3562202824497,174.4996451635796,500.99570647931307,157.46749698389044,,,,,,,,,,,,,,,,
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img029499.png,584.2368300791811,172.05684304423556,583.4501434143792,193.1026207613358,593.9303882546918,182.36141998852435,573.7565852388685,181.57473332372257,573.6662053793201,119.99677098857427,577.0726350152579,235.81537861046058,629.304556099638,177.90607479951746,503.26665956993827,158.60297352920304,63.83723653395785,197.2091760698318,283.60032037114297,206.81744620886718,320.460027597681,218.78450338653965,293.2085905101785,258.2626806284456,105.84986871052448,280.0989638776524,251.19086651053865,370.93708750266126,,,176.2494145199063,435.6592505854801
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img030414.png,584.935682795971,166.46602130991607,583.4501434143792,197.29573706207537,596.0269464050615,181.66256727173442,570.9611743717088,182.97243875730237,573.6662053793201,119.99677098857427,577.0726350152579,235.81537861046058,629.304556099638,177.90607479951746,503.26665956993827,158.60297352920304,27.501987083954333,207.42846497764532,246.6489603292882,223.32513661202182,277.30682705272875,229.00251933858493,256.86824923710174,259.6603860620254,96.76605634802357,286.91182314952806,194.41703924490812,373.20804059328646,,,176.2494145199063,435.6592505854801
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img033735.png,582.8219959177006,172.2584287319949,583.3652336570677,195.0319733370241,596.2954235992945,181.4029306780074,574.3565411458968,183.92672267548363,579.1721173563278,115.24110100425884,577.91022135759,226.28794889321205,624.6003733108998,175.81210894368786,511.0297334244704,158.1455649613544,35.450322901142584,209.69941806827052,280.54697568185895,218.42514848851874,320.7720326640554,227.51023380678794,289.5358626504487,264.43625326761975,94.49510325739837,275.55705769640196,211.96038172353963,355.00134076449865,,,170.31781376518222,440.81026867868974
labeled-data,2022-03-30_101_EB015_eyeCamLeft,img041169.png,576.7079893626149,169.98747564136966,575.6778537723784,195.73082605381398,588.6080437146052,184.89719426195705,563.6993554537925,182.1802273613929,579.1721173563278,115.24110100425884,577.91022135759,226.28794889321205,624.6003733108998,175.81210894368786,511.0297334244704,158.1455649613544,36.585799446455184,192.66726988858136,265.6979466447832,209.42789711826146,302.778802879309,222.18164096073576,270.6693852086569,255.87562572588513,89.95319707614792,258.5249095167128,211.96038172353963,355.00134076449865,,,170.31781376518222,440.81026867868974
